,station_id,name,lat,lon,capacity,stationCode_x,rental_methods,timestamp,datetime,stationCode_y,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical_available,ebike_available
0,213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,,1587409260.0,2020-04-20 21:01:00,16107,5,5,30,30,1,1,1,1587408365,3,2
1,99950133,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,55,6015,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,6015,16,16,36,36,1,1,1,1587408505,16,0
2,516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,,1587409260.0,2020-04-20 21:01:00,11104,9,9,11,11,1,1,1,1587408416,6,3
3,36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,9020,17,17,4,4,1,1,1,1587408427,13,4
4,37815204,Mairie du 12ème,48.84085531176338,2.3875549435615544,30,12109,,1587409260.0,2020-04-20 21:01:00,12109,6,6,24,24,1,1,1,1587408695,5,1
5,100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,5001,15,15,30,30,1,1,1,1587408710,12,3
6,85002689,Jourdan - Stade Charléty,48.81942833336948,2.343335375189781,60,14014,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,14014,12,12,48,48,1,1,1,1587408495,7,5
7,54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,17026,17,17,23,23,1,1,1,1587408675,10,7
8,85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,39,17041,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,17041,24,24,15,15,1,1,1,1587408542,19,5
9,123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,10013,4,4,56,56,1,1,1,1587408676,4,0
10,129026597,Caumartin - Provence,48.874422773426545,2.3284685611724854,22,9104,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,9104,10,10,12,12,1,1,1,1587408359,9,1
11,251039991,Cassini - Denfert-Rochereau,48.83752583906732,2.336035408079624,25,14111,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,14111,0,0,25,25,1,1,1,1587391435,0,0
12,37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,6003,11,11,10,10,1,1,1,1587408648,10,1
13,66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,13007,20,20,27,27,1,1,1,1587408687,13,7
14,210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,5110,5,5,18,18,1,1,1,1587408516,1,4
15,210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,,1587409260.0,2020-04-20 21:01:00,6108,17,17,0,0,1,1,1,1587408671,15,2
16,209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,,1587409260.0,2020-04-20 21:01:00,33006,14,14,18,18,1,1,1,1587408564,3,11
17,94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,,1587409260.0,2020-04-20 21:01:00,42016,15,15,12,12,1,1,1,1587408641,7,8
18,244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,41301,28,28,22,22,1,1,1,1587408620,26,2
19,43195240,Silly - Galliéni,48.835583838705936,2.2325500845909123,25,21010,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,21010,5,5,20,20,1,1,1,1587408232,3,2
20,210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,['CREDITCARD'],1587409260.0,2020-04-20 21:01:00,6021,6,6,15,15,1,1,1,1587408236,6,0
