,station_id,name,lat,lon,capacity,stationCode_x,rental_methods,timestamp,datetime,stationCode_y,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical_available,ebike_available
0,213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,,1587193260.0,2020-04-18 09:01:00,16107,8,8,27,27,1,1,1,1587192148,3,5
1,99950133,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,55,6015,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,6015,22,22,31,31,1,1,1,1587192276,21,1
2,516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,,1587193260.0,2020-04-18 09:01:00,11104,3,3,17,17,1,1,1,1587191821,1,2
3,36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,9020,15,15,6,6,1,1,1,1587192201,13,2
4,37815204,Mairie du 12ème,48.84085531176338,2.3875549435615544,30,12109,,1587193260.0,2020-04-18 09:01:00,12109,8,8,22,22,1,1,1,1587191811,8,0
5,100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,5001,18,18,27,27,1,1,1,1587192286,17,1
6,85002689,Jourdan - Stade Charléty,48.81942833336948,2.343335375189781,60,14014,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,14014,10,10,50,50,1,1,1,1587192217,5,5
7,54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,17026,13,13,27,27,1,1,1,1587191651,7,6
8,85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,39,17041,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,17041,30,30,9,9,1,1,1,1587192276,19,11
9,123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,10013,14,14,46,46,1,1,1,1587192031,11,3
10,129026597,Caumartin - Provence,48.874422773426545,2.3284685611724854,22,9104,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,9104,8,8,14,14,1,1,1,1587192247,7,1
11,251039991,Cassini - Denfert-Rochereau,48.83752583906732,2.336035408079624,25,14111,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,14111,1,1,24,24,1,1,1,1587191956,1,0
12,37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,6003,10,10,11,11,1,1,1,1587192292,8,2
13,66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,13007,19,19,28,28,1,1,1,1587192085,10,9
14,210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,5110,6,6,17,17,1,1,1,1587192289,3,3
15,210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,,1587193260.0,2020-04-18 09:01:00,6108,12,12,5,5,1,1,1,1587192084,9,3
16,209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,,1587193260.0,2020-04-18 09:01:00,33006,9,9,23,23,1,1,1,1587192282,3,6
17,94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,,1587193260.0,2020-04-18 09:01:00,42016,14,14,13,13,1,1,1,1587192293,4,10
18,244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,41301,34,34,16,16,1,1,1,1587191978,27,7
19,43195240,Silly - Galliéni,48.835583838705936,2.2325500845909123,25,21010,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,21010,9,9,16,16,1,1,1,1587192262,4,5
20,210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,6021,5,5,16,16,1,1,1,1587192020,5,0
21,501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,25006,5,5,17,17,1,1,1,1587191814,3,2
22,437597018,Invalides - Duroc,48.8477924732952,2.3161920905113225,29,7001,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,7001,19,19,9,9,1,1,1,1587192177,16,3
23,207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,17038,8,8,54,54,1,1,1,1587192141,2,6
24,210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,7003,6,6,54,54,1,1,1,1587191901,0,6
25,312165511,Faubourg Du Temple - Republique,48.867872484748744,2.3648982158072323,38,11037,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,11037,32,32,7,7,1,1,1,1587192202,30,2
26,210738704,Mazagran - Bonne Nouvelle,48.870278,2.351281,25,10105,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,10105,0,0,25,25,1,0,0,1581905135,0,0
27,210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,,1587193260.0,2020-04-18 09:01:00,5016,1,1,16,16,1,1,1,1587191819,1,0
28,82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,11025,24,24,19,19,1,1,1,1587192254,20,4
29,213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,,1587193260.0,2020-04-18 09:01:00,15047,13,13,40,40,1,1,1,1587192030,6,7
30,80101533,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,35,17025,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,17025,6,6,29,29,1,1,1,1587191909,3,3
31,54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,13101,30,30,4,4,1,1,1,1587192258,26,4
32,599135701,Ramponeau - Belleville,48.871031137596006,2.3790568521139748,44,20143,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,20143,4,4,40,40,1,1,1,1587192035,2,2
33,13105968,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,14108,,1587193260.0,2020-04-18 09:01:00,14108,5,5,16,16,1,1,1,1587191801,2,3
34,653208733,Romainville - Vaillant-Couturier,48.86785,2.446748,38,31024,,1587193260.0,2020-04-18 09:01:00,31024,9,9,29,29,1,1,1,1587192059,4,5
35,907054879,Liberté - Vert-de-Maisons,48.79014780960843,2.43286281824112,20,47007,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,47007,10,10,10,10,1,1,1,1587192143,7,3
36,129094535,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,17044,,1587193260.0,2020-04-18 09:01:00,17044,11,11,31,31,1,1,1,1587192257,6,5
37,2254322638,Verdun - Pierre et Marie Curie,48.81273885275313,2.3707932870538655,0,42027,,1587193260.0,2020-04-18 09:01:00,42027,0,0,0,0,0,0,0,1568624870,0,0
38,27415224,Bir Hakeim,48.853844054333514,2.289705348222022,33,15026,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,15026,26,26,4,4,1,1,1,1587191815,23,3
39,499303158,Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,30,44017,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,44017,22,22,8,8,1,1,1,1587191947,16,6
40,54000612,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,19033,,1587193260.0,2020-04-18 09:01:00,19033,0,0,43,43,1,1,1,1587191762,0,0
41,88230992,De Toqueville - Terrasse,48.882428,2.314002,30,17048,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,17048,17,17,13,13,1,1,1,1587192243,15,2
42,27415302,Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,26,16118,,1587193260.0,2020-04-18 09:01:00,16118,15,15,11,11,1,1,1,1587192267,9,6
43,102747146,Lagny - Victor Basch,48.84884147189881,2.426325418925233,26,43002,['CREDITCARD'],1587193260.0,2020-04-18 09:01:00,43002,4,4,22,22,1,1,1,1587191762,1,3
44,653132534,Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,25,21216,,1587193260.0,2020-04-18 09:01:00,21216,5,5,20,20,1,1,1,1587192177,2,3
