,station_id,name,lat,lon,capacity,stationCode_x,rental_methods,timestamp,datetime,stationCode_y,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical_available,ebike_available
0,213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,,1586876372.0,2020-04-14 16:59:32,16107,12,12,23,23,1,1,1,1586878383,4,8
1,99950133,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,55,6015,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,6015,27,27,26,26,1,1,1,1586878314,25,2
2,516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,,1586876372.0,2020-04-14 16:59:32,11104,6,6,14,14,1,1,1,1586878080,3,3
3,36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,9020,12,12,9,9,1,1,1,1586878225,8,4
4,37815204,Mairie du 12ème,48.84085531176338,2.3875549435615544,30,12109,,1586876372.0,2020-04-14 16:59:32,12109,11,11,19,19,1,1,1,1586878246,8,3
5,100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,5001,19,19,26,26,1,1,1,1586878323,15,4
6,85002689,Jourdan - Stade Charléty,48.81942833336948,2.343335375189781,60,14014,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,14014,9,9,51,51,1,1,1,1586878207,4,5
7,54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,17026,9,9,31,31,1,1,1,1586878362,9,0
8,85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,39,17041,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,17041,13,13,26,26,1,1,1,1586878322,8,5
9,123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,['CREDITCARD'],1586876372.0,2020-04-14 16:59:32,10013,42,42,18,18,1,1,1,1586878174,32,10
