,station_id,name,lat,lon,capacity,stationCode_x,rental_methods,timestamp,datetime,stationCode_y,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical_available,ebike_available
0,213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,,1587733328.0,2020-04-24 15:02:08,16107,5,5,30,30,1,1,1,1587732955,2,3
1,99950133,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,55,6015,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,6015,20,20,33,33,1,1,1,1587733215,16,4
2,516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,,1587733328.0,2020-04-24 15:02:08,11104,6,6,14,14,1,1,1,1587733131,1,5
3,36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,9020,11,11,10,10,1,1,1,1587733297,7,4
4,37815204,Mairie du 12ème,48.84085531176338,2.3875549435615544,30,12109,,1587733328.0,2020-04-24 15:02:08,12109,2,2,28,28,1,1,1,1587732832,2,0
5,100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,5001,18,18,27,27,1,1,1,1587733188,15,3
6,85002689,Jourdan - Stade Charléty,48.81942833336948,2.343335375189781,60,14014,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,14014,5,5,55,55,1,1,1,1587733296,0,5
7,54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,17026,2,2,38,38,1,1,1,1587733265,0,2
8,85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,39,17041,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,17041,22,22,17,17,1,1,1,1587733290,18,4
9,123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,10013,8,8,52,52,1,1,1,1587733237,3,5
10,129026597,Caumartin - Provence,48.874422773426545,2.3284685611724854,22,9104,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,9104,13,13,9,9,1,1,1,1587732958,11,2
11,251039991,Cassini - Denfert-Rochereau,48.83752583906732,2.336035408079624,25,14111,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,14111,11,11,14,14,1,1,1,1587733318,2,9
12,37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,6003,7,7,14,14,1,1,1,1587733121,7,0
13,66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,13007,13,13,35,35,1,1,1,1587733201,6,7
14,210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,5110,5,5,18,18,1,1,1,1587732785,0,5
15,210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,,1587733328.0,2020-04-24 15:02:08,6108,7,7,10,10,1,1,1,1587732960,6,1
16,209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,,1587733328.0,2020-04-24 15:02:08,33006,20,20,12,12,1,1,1,1587733055,5,15
17,94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,,1587733328.0,2020-04-24 15:02:08,42016,9,9,18,18,1,1,1,1587733311,3,6
18,244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,41301,24,24,26,26,1,1,1,1587733309,21,3
19,43195240,Silly - Galliéni,48.835583838705936,2.2325500845909123,25,21010,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,21010,9,9,16,16,1,1,1,1587733184,8,1
20,210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,6021,6,6,15,15,1,1,1,1587733189,5,1
21,501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,25006,9,9,13,13,1,1,1,1587732988,3,6
22,437597018,Invalides - Duroc,48.8477924732952,2.3161920905113225,29,7001,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,7001,16,16,13,13,1,1,1,1587733145,14,2
23,207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,17038,9,9,53,53,1,1,1,1587733023,3,6
24,210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,['CREDITCARD'],1587733328.0,2020-04-24 15:02:08,7003,13,13,47,47,1,1,1,1587733160,9,4
