,station_id,name,lat,lon,capacity,stationCode_x,rental_methods,timestamp,datetime,stationCode_y,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical_available,ebike_available
0,213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,,1587117572.0,2020-04-17 11:59:32,16107,11,11,24,24,1,1,1,1587116258,3,8
1,99950133,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,55,6015,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,6015,28,28,25,25,1,1,1,1587116387,27,1
2,516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,,1587117572.0,2020-04-17 11:59:32,11104,1,1,19,19,1,1,1,1587116194,0,1
3,36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,9020,13,13,8,8,1,1,1,1587116428,11,2
4,37815204,Mairie du 12ème,48.84085531176338,2.3875549435615544,30,12109,,1587117572.0,2020-04-17 11:59:32,12109,10,10,20,20,1,1,1,1587116304,10,0
5,100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,5001,17,17,28,28,1,1,1,1587115944,16,1
6,85002689,Jourdan - Stade Charléty,48.81942833336948,2.343335375189781,60,14014,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,14014,3,3,57,57,1,1,1,1587116257,1,2
7,54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,17026,7,7,33,33,1,1,1,1587116476,4,3
8,85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,39,17041,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,17041,23,23,16,16,1,1,1,1587116059,17,6
9,123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,10013,16,16,44,44,1,1,1,1587116425,7,9
10,129026597,Caumartin - Provence,48.874422773426545,2.3284685611724854,22,9104,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,9104,12,12,10,10,1,1,1,1587116158,8,4
11,251039991,Cassini - Denfert-Rochereau,48.83752583906732,2.336035408079624,25,14111,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,14111,6,6,19,19,1,1,1,1587116310,2,4
12,37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,6003,9,9,12,12,1,1,1,1587116109,7,2
13,66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,13007,9,9,38,38,1,1,1,1587116320,6,3
14,210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,5110,3,3,20,20,1,1,1,1587115903,2,1
15,210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,,1587117572.0,2020-04-17 11:59:32,6108,16,16,1,1,1,1,1,1587116447,10,6
16,209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,,1587117572.0,2020-04-17 11:59:32,33006,6,6,26,26,1,1,1,1587116120,4,2
17,94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,,1587117572.0,2020-04-17 11:59:32,42016,8,8,19,19,1,1,1,1587116146,3,5
18,244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,41301,29,29,21,21,1,1,1,1587116406,25,4
19,43195240,Silly - Galliéni,48.835583838705936,2.2325500845909123,25,21010,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,21010,5,5,20,20,1,1,1,1587116274,3,2
20,210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,6021,4,4,17,17,1,1,1,1587116110,4,0
21,501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,25006,5,5,17,17,1,1,1,1587116335,3,2
22,437597018,Invalides - Duroc,48.8477924732952,2.3161920905113225,29,7001,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,7001,14,14,14,14,1,1,1,1587116416,13,1
23,207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,17038,11,11,51,51,1,1,1,1587116033,0,11
24,210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,7003,10,10,50,50,1,1,1,1587116430,4,6
25,312165511,Faubourg Du Temple - Republique,48.867872484748744,2.3648982158072323,38,11037,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,11037,33,33,6,6,1,1,1,1587116463,30,3
26,210738704,Mazagran - Bonne Nouvelle,48.870278,2.351281,25,10105,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,10105,0,0,25,25,1,0,0,1581905135,0,0
27,210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,,1587117572.0,2020-04-17 11:59:32,5016,1,1,16,16,1,1,1,1587116437,0,1
28,82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,11025,15,15,28,28,1,1,1,1587116194,14,1
29,213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,,1587117572.0,2020-04-17 11:59:32,15047,12,12,41,41,1,1,1,1587116390,7,5
30,80101533,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,35,17025,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,17025,12,12,23,23,1,1,1,1587116275,2,10
31,54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,['CREDITCARD'],1587117572.0,2020-04-17 11:59:32,13101,27,27,7,7,1,1,1,1587116450,22,5
