,station_id,name,lat,lon,lat_lon,address_raw,municipality,postcode,cityDistrict,capacity,is_installed,is_returning,is_renting
10,129026597,Caumartin - Provence,48.874422773426545,2.3284685611724854,"48.874422773426545, 2.3284685611724854","{'buildingNumber': '52', 'streetNumber': '52', 'routeNumbers': [], 'street': 'Rue de Caumartin', 'streetName': 'Rue de Caumartin', 'streetNameAndNumber': '52 Rue de Caumartin', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75009', 'municipalitySubdivision': '9ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '52 Rue de Caumartin, Paris, 75009', 'boundingBox': {'northEast': '48.874716,2.328446', 'southWest': '48.874189,2.328414', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75009,09,22,1,1,1
11,251039991,Cassini - Denfert-Rochereau,48.83752583906732,2.3360354080796237,"48.83752583906732, 2.336035408079624","{'buildingNumber': '16Bis', 'streetNumber': '16Bis', 'routeNumbers': [], 'street': 'Rue Cassini', 'streetName': 'Rue Cassini', 'streetNameAndNumber': '16Bis Rue Cassini', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75014', 'municipalitySubdivision': '14ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '16Bis Rue Cassini, Paris, 75014', 'boundingBox': {'northEast': '48.837614,2.335999', 'southWest': '48.837517,2.335737', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75014,14,25,1,1,1
12,37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,"48.85165383178419, 2.3308077827095985","{'buildingNumber': '15', 'streetNumber': '15', 'routeNumbers': [], 'street': 'Rue du Vieux Colombier', 'streetName': 'Rue du Vieux Colombier', 'streetNameAndNumber': '15 Rue du Vieux Colombier', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75006', 'municipalitySubdivision': '6ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '15 Rue du Vieux Colombier, Paris, 75006', 'boundingBox': {'northEast': '48.851972,2.331156', 'southWest': '48.851594,2.329947', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75006,06,21,1,1,1
13,66491398,Le Brun - Gobelins,48.83509278782389,2.353468135133752,"48.835092787823875, 2.353468135133752","{'buildingNumber': '42', 'streetNumber': '42', 'routeNumbers': [], 'street': 'Rue Le Brun', 'streetName': 'Rue Le Brun', 'streetNameAndNumber': '42 Rue Le Brun', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75013', 'municipalitySubdivision': '13ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '42 Rue Le Brun, Paris, 75013', 'boundingBox': {'northEast': '48.835557,2.354175', 'southWest': '48.834876,2.353204', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75013,13,48,1,1,1
14,210403080,Lacépède - Monge,48.84389286531899,2.351966388523578,"48.84389286531899, 2.3519663885235786","{'buildingNumber': '26', 'streetNumber': '26', 'routeNumbers': [], 'street': 'Rue Lacépède', 'streetName': 'Rue Lacépède', 'streetNameAndNumber': '26 Rue Lacépède', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75005', 'municipalitySubdivision': '5ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '26 Rue Lacépède, Paris, 75005', 'boundingBox': {'northEast': '48.843953,2.352302', 'southWest': '48.843794,2.351540', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75005,05,23,1,1,1
15,210561800,Saint-Romain - Cherche-Midi,48.847081590819464,2.321374788880348,"48.84708159081946, 2.321374788880348","{'buildingNumber': '19', 'streetNumber': '19', 'routeNumbers': [], 'street': 'Rue Saint-Romain', 'streetName': 'Rue Saint-Romain', 'streetNameAndNumber': '19 Rue Saint-Romain', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75006', 'municipalitySubdivision': '6ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '19 Rue Saint-Romain, Paris, 75006', 'boundingBox': {'northEast': '48.847631,2.321479', 'southWest': '48.846883,2.320757', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75006,06,17,1,1,1
16,209063434,André Karman - République,48.91039875761847,2.3851355910301213,"48.91039875761846, 2.3851355910301213","{'buildingNumber': '141', 'streetNumber': '141', 'routeNumbers': [], 'street': 'Rue André Karman', 'streetName': 'Rue André Karman', 'streetNameAndNumber': '141 Rue André Karman', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Seine-Saint-Denis', 'municipality': 'Aubervilliers', 'postalCode': '93300', 'municipalitySubdivision': 'Aubervilliers', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '141 Rue André Karman, Aubervilliers, 93300', 'boundingBox': {'northEast': '48.910509,2.385098', 'southWest': '48.909435,2.384923', 'entity': 'position'}, 'localName': 'Aubervilliers'}",Aubervilliers,93300,Aubervilliers,31,1,1,1
17,94555589,Pierre et Marie Curie - Maurice Thorez,48.815802263608006,2.376804985105991,"48.81580226360801, 2.376804985105991","{'buildingNumber': '1bis', 'streetNumber': '1bis', 'routeNumbers': ['D54'], 'street': 'Rue Pierre et Marie Curie', 'streetName': 'Rue Pierre et Marie Curie', 'streetNameAndNumber': '1bis Rue Pierre et Marie Curie', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Val-de-Marne', 'municipality': 'Ivry-sur-Seine', 'postalCode': '94200', 'municipalitySubdivision': 'Ivry-sur-Seine', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '1bis Rue Pierre et Marie Curie, Ivry-sur-Seine, 94200', 'boundingBox': {'northEast': '48.815828,2.376803', 'southWest': '48.815764,2.376669', 'entity': 'position'}, 'localName': 'Ivry-sur-Seine'}",Ivry-sur-Seine,94200,Ivry-sur-Seine,27,1,1,1
18,244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,"48.836022242886884, 2.4708339950830287","{'buildingNumber': '2', 'streetNumber': '2', 'routeNumbers': ['N34'], 'street': 'Avenue Georges Clemenceau', 'streetName': 'Avenue Georges Clemenceau', 'streetNameAndNumber': '2 Avenue Georges Clemenceau', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Val-de-Marne', 'municipality': 'Nogent-sur-Marne', 'postalCode': '94130', 'municipalitySubdivision': 'Nogent-sur-Marne', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '2 Avenue Georges Clemenceau, Nogent-sur-Marne, 94130', 'boundingBox': {'northEast': '48.836310,2.470649', 'southWest': '48.836169,2.470077', 'entity': 'position'}, 'localName': 'Nogent-sur-Marne'}",Nogent-sur-Marne,94130,Nogent-sur-Marne,50,1,1,1
19,43195240,Silly - Galliéni,48.83558383870594,2.2325500845909123,"48.835583838705936, 2.2325500845909123","{'buildingNumber': '197', 'streetNumber': '197', 'routeNumbers': [], 'street': 'Rue Gallieni', 'streetName': 'Rue Gallieni', 'streetNameAndNumber': '197 Rue Gallieni', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Hauts-de-Seine', 'municipality': 'Boulogne-Billancourt', 'postalCode': '92100', 'municipalitySubdivision': 'Boulogne-Billancourt', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '197 Rue Gallieni, Boulogne-Billancourt, 92100', 'boundingBox': {'northEast': '48.835835,2.234055', 'southWest': '48.835618,2.232393', 'entity': 'position'}, 'localName': 'Boulogne-Billancourt'}",Boulogne-Billancourt,92100,Boulogne-Billancourt,25,1,1,1
